nombres,apellidos,correo_institucional,telefono
Barclay,Waldie,barclay.waldie1@urosario.edu.co,3327055026
Eleanora,Osbaldeston,eleanora.osbaldeston2@urosario.edu.co,3042218797
Gwendolin,Rist,gwendolin.rist3@urosario.edu.co,3574952138
Max,Luter,max.luter4@urosario.edu.co,3871143428
Anselma,Shelper,anselma.shelper5@urosario.edu.co,3244326152
Kath,De la Yglesia,kath.delayglesia6@urosario.edu.co,3354911545
Corbett,Wybron,corbett.wybron7@urosario.edu.co,3992641975
Ephrayim,Sharphouse,ephrayim.sharphouse8@urosario.edu.co,3788114709
Rhea,Mustoe,rhea.mustoe9@urosario.edu.co,3723960192
Kiel,Neilands,kiel.neilands10@urosario.edu.co,3063979253
Nikolai,Hellwig,nikolai.hellwig11@urosario.edu.co,3216678703
Sylvester,Brimham,sylvester.brimham12@urosario.edu.co,3688734533
Dana,Fere,dana.fere13@urosario.edu.co,3503923435
Nelly,Gillinghams,nelly.gillinghams14@urosario.edu.co,3075274614
Nanice,Schankel,nanice.schankel15@urosario.edu.co,3601839588
Selina,Mattielli,selina.mattielli16@urosario.edu.co,3077241253
Kyle,O'Kennedy,kyle.o'kennedy17@urosario.edu.co,3304050417
Godfry,Burry,godfry.burry18@urosario.edu.co,3418438348
Tally,Ridding,tally.ridding19@urosario.edu.co,3461526678
Niki,Percival,niki.percival20@urosario.edu.co,3167652184
Lyda,Pargeter,lyda.pargeter21@urosario.edu.co,3338223957
Karole,Haborn,karole.haborn22@urosario.edu.co,3459401236
Luz,Langsbury,luz.langsbury23@urosario.edu.co,3180347817
Barby,Edden,barby.edden24@urosario.edu.co,3574739133
Alvy,St. Leger,alvy.st.leger25@urosario.edu.co,3434929971
Clyve,Clemmen,clyve.clemmen26@urosario.edu.co,3653872053
Mohandis,Hansill,mohandis.hansill27@urosario.edu.co,3126606019
Levin,Belfelt,levin.belfelt28@urosario.edu.co,3197661153
Ario,Toulmin,ario.toulmin29@urosario.edu.co,3537720035
Essa,Downham,essa.downham30@urosario.edu.co,3246538385
Madelaine,Boocock,madelaine.boocock31@urosario.edu.co,3750837678
Daron,Leakner,daron.leakner32@urosario.edu.co,3753934588
Amil,Dibdale,amil.dibdale33@urosario.edu.co,3764214575
Zackariah,McIlwrick,zackariah.mcilwrick34@urosario.edu.co,3105497550
Kellia,Sweetman,kellia.sweetman35@urosario.edu.co,3316989352
Katherine,Webster,katherine.webster36@urosario.edu.co,3024845911
Paige,Davydochkin,paige.davydochkin37@urosario.edu.co,3490037858
Mattie,Duckworth,mattie.duckworth38@urosario.edu.co,3545842686
Stephie,Biasi,stephie.biasi39@urosario.edu.co,3544086196
Carolynn,Bettles,carolynn.bettles40@urosario.edu.co,3065046545
Luigi,Seefus,luigi.seefus41@urosario.edu.co,3962378939
Bondie,Scollan,bondie.scollan42@urosario.edu.co,3462095997
Lancelot,Nizet,lancelot.nizet43@urosario.edu.co,3599186002
Tabbatha,Wavell,tabbatha.wavell44@urosario.edu.co,3403542752
Vivien,Stitfall,vivien.stitfall45@urosario.edu.co,3439655743
Ephrem,Janaszkiewicz,ephrem.janaszkiewicz46@urosario.edu.co,3532476823
Kenon,Hollyman,kenon.hollyman47@urosario.edu.co,3325936076
Suzanne,Rogan,suzanne.rogan48@urosario.edu.co,3394698845
Marlowe,Pursehouse,marlowe.pursehouse49@urosario.edu.co,3599918059
Fabio,Dunbabin,fabio.dunbabin50@urosario.edu.co,3192604774
Pablo,Dayce,pablo.dayce51@urosario.edu.co,3150314817
Gabby,Coronas,gabby.coronas52@urosario.edu.co,3125118329
Teador,Renn,teador.renn53@urosario.edu.co,3830741353
Augustine,Marchi,augustine.marchi54@urosario.edu.co,3607117384
Cami,Pawley,cami.pawley55@urosario.edu.co,3419758656
Anne-corinne,Bazley,anne-corinne.bazley56@urosario.edu.co,3364036983
Cleon,Solland,cleon.solland57@urosario.edu.co,3005283261
Celinka,Pele,celinka.pele58@urosario.edu.co,3802980196
Clementina,Goude,clementina.goude59@urosario.edu.co,3661451375
Rene,Schiementz,rene.schiementz60@urosario.edu.co,3314459894
Justinian,Tretwell,justinian.tretwell61@urosario.edu.co,3778103197
Hurley,Attwooll,hurley.attwooll62@urosario.edu.co,3012973220
Steven,Baish,steven.baish63@urosario.edu.co,3791906557
